 4.873e+00 1.9149e-01 1.9149e-01 [ 1.0550e-02 3.3232e-02 1.1298e-01 9.4032e-03 4.9407e-03 1.2698e-02 3.9808e-03 3.7045e-03 ] 8.0850e-01
 4.987e+00 2.0515e-01 2.0515e-01 [ 1.0218e-02 3.5207e-02 1.2277e-01 1.0079e-02 5.2874e-03 1.3524e-02 4.2213e-03 3.8484e-03 ] 7.9485e-01
 5.100e+00 2.1929e-01 2.1929e-01 [ 9.8762e-03 3.7197e-02 1.3296e-01 1.0776e-02 5.6447e-03 1.4371e-02 4.4667e-03 3.9930e-03 ] 7.8071e-01
 5.213e+00 2.3381e-01 2.3381e-01 [ 9.5260e-03 3.9186e-02 1.4351e-01 1.1490e-02 6.0104e-03 1.5233e-02 4.7157e-03 4.1374e-03 ] 7.6619e-01
 5.327e+00 2.4858e-01 2.4858e-01 [ 9.1670e-03 4.1152e-02 1.5431e-01 1.2215e-02 6.3821e-03 1.6105e-02 4.9663e-03 4.2807e-03 ] 7.5142e-01
 5.440e+00 2.6346e-01 2.6346e-01 [ 8.7998e-03 4.3074e-02 1.6527e-01 1.2945e-02 6.7565e-03 1.6980e-02 5.2167e-03 4.4217e-03 ] 7.3654e-01
 5.553e+00 2.7828e-01 2.7828e-01 [ 8.4246e-03 4.4927e-02 1.7625e-01 1.3673e-02 7.1302e-03 1.7850e-02 5.4647e-03 4.5595e-03 ] 7.2172e-01
 5.667e+00 2.9286e-01 2.9286e-01 [ 8.0423e-03 4.6685e-02 1.8713e-01 1.4392e-02 7.4993e-03 1.8705e-02 5.7077e-03 4.6927e-03 ] 7.0714e-01
 5.780e+00 3.0698e-01 3.0698e-01 [ 7.6537e-03 4.8320e-02 1.9775e-01 1.5093e-02 7.8596e-03 1.9538e-02 5.9432e-03 4.8201e-03 ] 6.9302e-01
 5.893e+00 3.2042e-01 3.2042e-01 [ 7.2599e-03 4.9805e-02 2.0794e-01 1.5769e-02 8.2067e-03 2.0337e-02 6.1684e-03 4.9403e-03 ] 6.7958e-01
 6.007e+00 3.3297e-01 3.3297e-01 [ 6.8624e-03 5.1115e-02 2.1753e-01 1.6409e-02 8.5358e-03 2.1093e-02 6.3808e-03 5.0520e-03 ] 6.6702e-01
 6.120e+00 3.4441e-01 3.4441e-01 [ 6.4628e-03 5.2223e-02 2.2634e-01 1.7005e-02 8.8423e-03 2.1796e-02 6.5775e-03 5.1539e-03 ] 6.5559e-01
 6.233e+00 3.5450e-01 3.5450e-01 [ 6.0629e-03 5.3106e-02 2.3422e-01 1.7548e-02 9.1219e-03 2.2437e-02 6.7560e-03 5.2449e-03 ] 6.4550e-01
 6.347e+00 3.6306e-01 3.6306e-01 [ 5.6649e-03 5.3746e-02 2.4100e-01 1.8030e-02 9.3702e-03 2.3006e-02 6.9139e-03 5.3239e-03 ] 6.3694e-01
 6.460e+00 3.6990e-01 3.6990e-01 [ 5.2707e-03 5.4127e-02 2.4654e-01 1.8443e-02 9.5835e-03 2.3496e-02 7.0490e-03 5.3898e-03 ] 6.3010e-01
 6.573e+00 3.7489e-01 3.7489e-01 [ 4.8827e-03 5.4237e-02 2.5073e-01 1.8782e-02 9.7585e-03 2.3899e-02 7.1595e-03 5.4420e-03 ] 6.2511e-01
 6.687e+00 3.7791e-01 3.7791e-01 [ 4.5031e-03 5.4072e-02 2.5346e-01 1.9041e-02 9.8926e-03 2.4210e-02 7.2440e-03 5.4799e-03 ] 6.2209e-01
 6.800e+00 3.7889e-01 3.7889e-01 [ 4.1341e-03 5.3631e-02 2.5470e-01 1.9216e-02 9.9839e-03 2.4426e-02 7.3015e-03 5.5030e-03 ] 6.2111e-01
 6.913e+00 3.7783e-01 3.7783e-01 [ 3.7777e-03 5.2919e-02 2.5441e-01 1.9306e-02 1.0031e-02 2.4543e-02 7.3316e-03 5.5113e-03 ] 6.2217e-01
 7.027e+00 3.7473e-01 3.7473e-01 [ 3.4359e-03 5.1948e-02 2.5260e-01 1.9311e-02 1.0035e-02 2.4562e-02 7.3341e-03 5.5049e-03 ] 6.2527e-01
 7.140e+00 3.6967e-01 3.6967e-01 [ 3.1101e-03 5.0733e-02 2.4933e-01 1.9231e-02 9.9955e-03 2.4484e-02 7.3096e-03 5.4840e-03 ] 6.3033e-01
 7.253e+00 3.6276e-01 3.6276e-01 [ 2.8019e-03 4.9294e-02 2.4466e-01 1.9069e-02 9.9141e-03 2.4312e-02 7.2588e-03 5.4493e-03 ] 6.3724e-01
 7.367e+00 3.5415e-01 3.5415e-01 [ 2.5123e-03 4.7655e-02 2.3872e-01 1.8831e-02 9.7933e-03 2.4052e-02 7.1833e-03 5.4014e-03 ] 6.4585e-01
 7.480e+00 3.4400e-01 3.4400e-01 [ 2.2421e-03 4.5845e-02 2.3163e-01 1.8521e-02 9.6359e-03 2.3708e-02 7.0846e-03 5.3413e-03 ] 6.5600e-01
 7.593e+00 3.3254e-01 3.3254e-01 [ 1.9916e-03 4.3891e-02 2.2354e-01 1.8146e-02 9.4455e-03 2.3289e-02 6.9649e-03 5.2701e-03 ] 6.6746e-01
 7.707e+00 3.1996e-01 3.1996e-01 [ 1.7611e-03 4.1825e-02 2.1462e-01 1.7714e-02 9.2260e-03 2.2803e-02 6.8265e-03 5.1890e-03 ] 6.8004e-01
 7.820e+00 3.0650e-01 3.0650e-01 [ 1.5502e-03 3.9675e-02 2.0503e-01 1.7232e-02 8.9816e-03 2.2258e-02 6.6719e-03 5.0992e-03 ] 6.9350e-01
 7.933e+00 2.9239e-01 2.9239e-01 [ 1.3587e-03 3.7473e-02 1.9496e-01 1.6710e-02 8.7167e-03 2.1666e-02 6.5036e-03 5.0023e-03 ] 7.0761e-01
 8.047e+00 2.7783e-01 2.7783e-01 [ 1.1858e-03 3.5246e-02 1.8455e-01 1.6156e-02 8.4356e-03 2.1034e-02 6.3244e-03 4.8994e-03 ] 7.2217e-01
 8.160e+00 2.6305e-01 2.6305e-01 [ 1.0307e-03 3.3021e-02 1.7397e-01 1.5579e-02 8.1428e-03 2.0372e-02 6.1367e-03 4.7919e-03 ] 7.3695e-01
 8.273e+00 2.4822e-01 2.4822e-01 [ 8.9242e-04 3.0819e-02 1.6337e-01 1.4985e-02 7.8421e-03 1.9689e-02 5.9432e-03 4.6812e-03 ] 7.5178e-01
 8.387e+00 2.3352e-01 2.3352e-01 [ 7.6974e-04 2.8663e-02 1.5285e-01 1.4383e-02 7.5374e-03 1.8995e-02 5.7462e-03 4.5686e-03 ] 7.6648e-01
 8.500e+00 2.1909e-01 2.1909e-01 [ 6.6155e-04 2.6569e-02 1.4255e-01 1.3779e-02 7.2321e-03 1.8295e-02 5.5477e-03 4.4550e-03 ] 7.8091e-01
 8.613e+00 2.0505e-01 2.0505e-01 [ 5.6661e-04 2.4552e-02 1.3253e-01 1.3179e-02 6.9292e-03 1.7598e-02 5.3499e-03 4.3416e-03 ] 7.9495e-01
 8.727e+00 1.9151e-01 1.9151e-01 [ 4.8371e-04 2.2622e-02 1.2289e-01 1.2589e-02 6.6314e-03 1.6909e-02 5.1542e-03 4.2293e-03 ] 8.0849e-01
 8.840e+00 1.7854e-01 1.7854e-01 [ 4.1166e-04 2.0787e-02 1.1367e-01 1.2012e-02 6.3408e-03 1.6234e-02 4.9624e-03 4.1188e-03 ] 8.2146e-01
 8.953e+00 1.6619e-01 1.6619e-01 [ 3.4931e-04 1.9054e-02 1.0492e-01 1.1452e-02 6.0592e-03 1.5576e-02 4.7754e-03 4.0109e-03 ] 8.3381e-01
 9.067e+00 1.5452e-01 1.5452e-01 [ 2.9557e-04 1.7425e-02 9.6655e-02 1.0913e-02 5.7880e-03 1.4940e-02 4.5944e-03 3.9060e-03 ] 8.4548e-01
 9.180e+00 1.4352e-01 1.4352e-01 [ 2.4945e-04 1.5902e-02 8.8897e-02 1.0395e-02 5.5283e-03 1.4327e-02 4.4201e-03 3.8046e-03 ] 8.5648e-01
 9.293e+00 1.3323e-01 1.3323e-01 [ 2.0999e-04 1.4484e-02 8.1650e-02 9.9011e-03 5.2808e-03 1.3741e-02 4.2531e-03 3.7071e-03 ] 8.6677e-01
 9.407e+00 1.2362e-01 1.2362e-01 [ 1.7635e-04 1.3169e-02 7.4907e-02 9.4317e-03 5.0459e-03 1.3182e-02 4.0938e-03 3.6137e-03 ] 8.7638e-01
 9.520e+00 1.1469e-01 1.1469e-01 [ 1.4777e-04 1.1954e-02 6.8658e-02 8.9873e-03 4.8240e-03 1.2651e-02 3.9425e-03 3.5245e-03 ] 8.8531e-01
 9.633e+00 1.0642e-01 1.0642e-01 [ 1.2355e-04 1.0835e-02 6.2886e-02 8.5681e-03 4.6150e-03 1.2148e-02 3.7993e-03 3.4397e-03 ] 8.9358e-01
 9.747e+00 9.8772e-02 9.8772e-02 [ 1.0310e-04 9.8081e-03 5.7570e-02 8.1738e-03 4.4188e-03 1.1675e-02 3.6642e-03 3.3593e-03 ] 9.0123e-01
 9.860e+00 9.1729e-02 9.1729e-02 [ 8.5859e-05 8.8675e-03 5.2687e-02 7.8038e-03 4.2351e-03 1.1229e-02 3.5371e-03 3.2832e-03 ] 9.0827e-01
 9.973e+00 8.5255e-02 8.5255e-02 [ 7.1370e-05 8.0083e-03 4.8213e-02 7.4576e-03 4.0637e-03 1.0812e-02 3.4179e-03 3.2114e-03 ] 9.1475e-01
 1.009e+01 7.9314e-02 7.9314e-02 [ 5.9221e-05 7.2252e-03 4.4120e-02 7.1342e-03 3.9039e-03 1.0421e-02 3.3064e-03 3.1438e-03 ] 9.2069e-01
