 3.060e+00 2.6172e-02 2.6172e-02 [ 1.4977e-02 9.1153e-03 1.8608e-03 5.7269e-05 7.6845e-05 7.3455e-06 2.7042e-06 2.6096e-06 2.6352e-06 2.6345e-06 6.2244e-06 4.3006e-06 1.5368e-05 1.4832e-05 2.5698e-05 ] 9.7383e-01
 3.173e+00 2.6288e-02 2.6288e-02 [ 1.4646e-02 9.4242e-03 1.9833e-03 6.1637e-05 8.2813e-05 7.9180e-06 2.9100e-06 2.7953e-06 2.7943e-06 2.8186e-06 6.6833e-06 4.6162e-06 1.6442e-05 1.5821e-05 2.6997e-05 ] 9.7371e-01
 3.287e+00 2.6365e-02 2.6365e-02 [ 1.4292e-02 9.7140e-03 2.1080e-03 6.6174e-05 8.9027e-05 8.5155e-06 3.1243e-06 2.9872e-06 2.9564e-06 3.0085e-06 7.1593e-06 4.9430e-06 1.7549e-05 1.6832e-05 2.8300e-05 ] 9.7364e-01
 3.400e+00 2.6405e-02 2.6405e-02 [ 1.3918e-02 9.9849e-03 2.2348e-03 7.0880e-05 9.5493e-05 9.1388e-06 3.3475e-06 3.1856e-06 3.1217e-06 3.2043e-06 7.6529e-06 5.2812e-06 1.8687e-05 1.7864e-05 2.9607e-05 ] 9.7360e-01
 3.513e+00 2.6413e-02 2.6413e-02 [ 1.3527e-02 1.0237e-02 2.3637e-03 7.5759e-05 1.0222e-04 9.7887e-06 3.5798e-06 3.3907e-06 3.2904e-06 3.4063e-06 8.1645e-06 5.6311e-06 1.9858e-05 1.8918e-05 3.0919e-05 ] 9.7359e-01
 3.627e+00 2.6392e-02 2.6392e-02 [ 1.3124e-02 1.0471e-02 2.4944e-03 8.0812e-05 1.0920e-04 1.0466e-05 3.8217e-06 3.6028e-06 3.4628e-06 3.6146e-06 8.6948e-06 5.9929e-06 2.1061e-05 1.9992e-05 3.2237e-05 ] 9.7361e-01
 3.740e+00 2.6345e-02 2.6345e-02 [ 1.2710e-02 1.0687e-02 2.6268e-03 8.6044e-05 1.1646e-04 1.1173e-05 4.0736e-06 3.8221e-06 3.6392e-06 3.8296e-06 9.2444e-06 6.3670e-06 2.2297e-05 2.1087e-05 3.3561e-05 ] 9.7365e-01
 3.853e+00 2.6277e-02 2.6277e-02 [ 1.2289e-02 1.0886e-02 2.7610e-03 9.1457e-05 1.2400e-04 1.1909e-05 4.3358e-06 4.0491e-06 3.8199e-06 4.0516e-06 9.8142e-06 6.7537e-06 2.3566e-05 2.2203e-05 3.4893e-05 ] 9.7372e-01
 3.967e+00 2.6189e-02 2.6189e-02 [ 1.1864e-02 1.1068e-02 2.8967e-03 9.7056e-05 1.3183e-04 1.2676e-05 4.6090e-06 4.2841e-06 4.0054e-06 4.2810e-06 1.0405e-05 7.1536e-06 2.4871e-05 2.3339e-05 3.6234e-05 ] 9.7381e-01
 4.080e+00 2.6086e-02 2.6086e-02 [ 1.1436e-02 1.1234e-02 3.0339e-03 1.0285e-04 1.3995e-04 1.3477e-05 4.8936e-06 4.5276e-06 4.1960e-06 4.5180e-06 1.1018e-05 7.5670e-06 2.6211e-05 2.4496e-05 3.7586e-05 ] 9.7391e-01
