 3.740e+00 2.0928e-02 2.0928e-02 [ 5.3847e-03 2.9273e-03 1.6311e-03 9.0693e-04 1.3497e-03 1.1962e-03 2.1861e-03 1.0062e-03 8.6764e-04 8.3854e-04 2.6340e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7907e-01
 3.853e+00 2.0609e-02 2.0609e-02 [ 5.1683e-03 2.8850e-03 1.6068e-03 8.8783e-04 1.3262e-03 1.1880e-03 2.1862e-03 1.0077e-03 8.7285e-04 8.4251e-04 2.6381e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7939e-01
 3.967e+00 2.0298e-02 2.0298e-02 [ 4.9648e-03 2.8474e-03 1.5860e-03 8.6955e-04 1.3015e-03 1.1777e-03 2.1823e-03 1.0076e-03 8.7696e-04 8.4545e-04 2.6386e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.7970e-01
 4.080e+00 1.9994e-02 1.9994e-02 [ 4.7732e-03 2.8145e-03 1.5684e-03 8.5214e-04 1.2761e-03 1.1656e-03 2.1748e-03 1.0061e-03 8.8001e-04 8.4741e-04 2.6359e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8001e-01
 4.193e+00 1.9698e-02 1.9698e-02 [ 4.5926e-03 2.7859e-03 1.5535e-03 8.3564e-04 1.2502e-03 1.1518e-03 2.1640e-03 1.0033e-03 8.8202e-04 8.4844e-04 2.6302e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8030e-01
 4.307e+00 1.9408e-02 1.9408e-02 [ 4.4221e-03 2.7612e-03 1.5411e-03 8.2004e-04 1.2243e-03 1.1366e-03 2.1502e-03 9.9932e-04 8.8302e-04 8.4859e-04 2.6220e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8059e-01
 4.420e+00 1.9126e-02 1.9126e-02 [ 4.2608e-03 2.7402e-03 1.5308e-03 8.0535e-04 1.1984e-03 1.1203e-03 2.1337e-03 9.9433e-04 8.8305e-04 8.4789e-04 2.6115e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8087e-01
 4.533e+00 1.8851e-02 1.8851e-02 [ 4.1078e-03 2.7224e-03 1.5223e-03 7.9154e-04 1.1729e-03 1.1030e-03 2.1149e-03 9.8841e-04 8.8214e-04 8.4640e-04 2.5989e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8115e-01
 4.647e+00 1.8581e-02 1.8581e-02 [ 3.9625e-03 2.7075e-03 1.5155e-03 7.7860e-04 1.1478e-03 1.0850e-03 2.0939e-03 9.8165e-04 8.8033e-04 8.4415e-04 2.5845e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8142e-01
 4.760e+00 1.8318e-02 1.8318e-02 [ 3.8240e-03 2.6951e-03 1.5099e-03 7.6649e-04 1.1234e-03 1.0665e-03 2.0711e-03 9.7414e-04 8.7767e-04 8.4118e-04 2.5685e-03 ] 0.0000e+00 [ 0.0000e+00 ] 9.8168e-01
