[ 2.0363e-01 -1.5602e+00 -2.8294e+00 -9.7569e-01 ] [ -6.1044e-02 -2.1214e+00 -1.5450e+00 1.8117e-01 -4.2163e-01 -5.3482e-02 -6.6861e-01 ] 3.99740e-01 3.24843e-01 -5.15605e+00
[ 1.9144e-01 -1.5635e+00 -2.8245e+00 -9.8496e-01 ] [ -7.3334e-02 -2.1208e+00 -1.5461e+00 1.6890e-01 -4.3204e-01 -6.7134e-02 -6.7871e-01 ] 3.76229e-01 3.43198e-01 -5.11970e+00
[ 1.7854e-01 -1.5668e+00 -2.8186e+00 -9.9479e-01 ] [ -8.6416e-02 -2.1197e+00 -1.5468e+00 1.5590e-01 -4.4305e-01 -8.1764e-02 -6.8943e-01 ] 3.49900e-01 3.63253e-01 -5.07933e+00
[ 1.6521e-01 -1.5696e+00 -2.8114e+00 -1.0049e+00 ] [ -1.0000e-01 -2.1178e+00 -1.5467e+00 1.4246e-01 -4.5438e-01 -9.7086e-02 -7.0049e-01 ] 3.20989e-01 3.84720e-01 -5.03501e+00
[ 1.5179e-01 -1.5718e+00 -2.8027e+00 -1.0150e+00 ] [ -1.1376e-01 -2.1147e+00 -1.5457e+00 1.2890e-01 -4.6571e-01 -1.1276e-01 -7.1157e-01 ] 2.89849e-01 4.07240e-01 -4.98686e+00
[ 1.3861e-01 -1.5729e+00 -2.7922e+00 -1.0247e+00 ] [ -1.2733e-01 -2.1103e+00 -1.5433e+00 1.1558e-01 -4.7669e-01 -1.2842e-01 -7.2229e-01 ] 2.56941e-01 4.30387e-01 -4.93502e+00
[ 1.2603e-01 -1.5727e+00 -2.7795e+00 -1.0336e+00 ] [ -1.4035e-01 -2.1041e+00 -1.5394e+00 1.0284e-01 -4.8695e-01 -1.4369e-01 -7.3231e-01 ] 2.22832e-01 4.53697e-01 -4.87967e+00
[ 1.1433e-01 -1.5708e+00 -2.7644e+00 -1.0414e+00 ] [ -1.5251e-01 -2.0958e+00 -1.5335e+00 9.0969e-02 -4.9618e-01 -1.5821e-01 -7.4126e-01 ] 1.88161e-01 4.76690e-01 -4.82101e+00
[ 1.0373e-01 -1.5670e+00 -2.7467e+00 -1.0478e+00 ] [ -1.6353e-01 -2.0854e+00 -1.5257e+00 8.0206e-02 -5.0410e-01 -1.7168e-01 -7.4886e-01 ] 1.53611e-01 4.98913e-01 -4.75927e+00
[ 9.4368e-02 -1.5611e+00 -2.7264e+00 -1.0525e+00 ] [ -1.7324e-01 -2.0726e+00 -1.5157e+00 7.0676e-02 -5.1055e-01 -1.8390e-01 -7.5489e-01 ] 1.19855e-01 5.19970e-01 -4.69471e+00
[ 8.6246e-02 -1.5532e+00 -2.7032e+00 -1.0553e+00 ] [ -1.8159e-01 -2.0574e+00 -1.5036e+00 6.2401e-02 -5.1545e-01 -1.9475e-01 -7.5926e-01 ] 8.75152e-02 5.39554e-01 -4.62758e+00
[ 7.9281e-02 -1.5431e+00 -2.6775e+00 -1.0563e+00 ] [ -1.8860e-01 -2.0400e+00 -1.4895e+00 5.5300e-02 -5.1883e-01 -2.0423e-01 -7.6196e-01 ] 5.71191e-02 5.57462e-01 -4.55814e+00
[ 7.3305e-02 -1.5312e+00 -2.6493e+00 -1.0555e+00 ] [ -1.9438e-01 -2.0203e+00 -1.4736e+00 4.9212e-02 -5.2081e-01 -2.1241e-01 -7.6306e-01 ] 2.90741e-02 5.73594e-01 -4.48665e+00
[ 6.8102e-02 -1.5176e+00 -2.6188e+00 -1.0531e+00 ] [ -1.9913e-01 -1.9988e+00 -1.4563e+00 4.3927e-02 -5.2156e-01 -2.1943e-01 -7.6273e-01 ] 3.65466e-03 5.87945e-01 -4.41333e+00
[ 6.3443e-02 -1.5024e+00 -2.5864e+00 -1.0491e+00 ] [ -2.0304e-01 -1.9756e+00 -1.4377e+00 3.9218e-02 -5.2129e-01 -2.2548e-01 -7.6113e-01 ] -1.89957e-02 6.00581e-01 -4.33840e+00
[ 5.9114e-02 -1.4860e+00 -2.5523e+00 -1.0438e+00 ] [ -2.0631e-01 -1.9510e+00 -1.4182e+00 3.4875e-02 -5.2020e-01 -2.3073e-01 -7.5848e-01 ] -3.88502e-02 6.11616e-01 -4.26206e+00
[ 5.4938e-02 -1.4686e+00 -2.5168e+00 -1.0374e+00 ] [ -2.0911e-01 -1.9251e+00 -1.3979e+00 3.0719e-02 -5.1847e-01 -2.3536e-01 -7.5495e-01 ] -5.59774e-02 6.21191e-01 -4.18446e+00
[ 5.0780e-02 -1.4503e+00 -2.4800e+00 -1.0301e+00 ] [ -2.1160e-01 -1.8983e+00 -1.3770e+00 2.6617e-02 -5.1626e-01 -2.3950e-01 -7.5070e-01 ] -7.05172e-02 6.29457e-01 -4.10574e+00
[ 4.6554e-02 -1.4313e+00 -2.4422e+00 -1.0220e+00 ] [ -2.1386e-01 -1.8707e+00 -1.3557e+00 2.2479e-02 -5.1369e-01 -2.4328e-01 -7.4587e-01 ] -8.26563e-02 6.36558e-01 -4.02601e+00
[ 4.2212e-02 -1.4116e+00 -2.4034e+00 -1.0131e+00 ] [ -2.1598e-01 -1.8424e+00 -1.3341e+00 1.8255e-02 -5.1082e-01 -2.4677e-01 -7.4055e-01 ] -9.26066e-02 6.42629e-01 -3.94535e+00
[ 3.7735e-02 -1.3915e+00 -2.3639e+00 -1.0037e+00 ] [ -2.1799e-01 -1.8134e+00 -1.3121e+00 1.3924e-02 -5.0773e-01 -2.5004e-01 -7.3481e-01 ] -1.00588e-01 6.47787e-01 -3.86385e+00
[ 3.3126e-02 -1.3709e+00 -2.3236e+00 -9.9377e-01 ] [ -2.1993e-01 -1.7839e+00 -1.2899e+00 9.4852e-03 -5.0444e-01 -2.5310e-01 -7.2871e-01 ] -1.06814e-01 6.52137e-01 -3.78155e+00
[ 2.8401e-02 -1.3498e+00 -2.2827e+00 -9.8335e-01 ] [ -2.2179e-01 -1.7538e+00 -1.2675e+00 4.9521e-03 -5.0097e-01 -2.5600e-01 -7.2229e-01 ] -1.11485e-01 6.55763e-01 -3.69849e+00
[ 2.3582e-02 -1.3284e+00 -2.2411e+00 -9.7250e-01 ] [ -2.2358e-01 -1.7233e+00 -1.2448e+00 3.4354e-04 -4.9733e-01 -2.5874e-01 -7.1557e-01 ] -1.14782e-01 6.58739e-01 -3.61471e+00
[ 1.8692e-02 -1.3065e+00 -2.1989e+00 -9.6124e-01 ] [ -2.2528e-01 -1.6923e+00 -1.2218e+00 -4.3183e-03 -4.9353e-01 -2.6133e-01 -7.0856e-01 ] -1.16863e-01 6.61124e-01 -3.53023e+00
