z [nm]	Overall	L		1	2	3	4		M		1	2	3	4	5	6	7	8	9		H		1	2	3	4		Solvent
1.80E+01	7.00E-03	6.84E-07	[	1.57E-18	2.39E-12	6.81E-08	6.16E-07	]	2.00E-03	[	1.11E-26	2.43E-13	1.75E-05	4.63E-05	4.30E-04	6.11E-04	3.27E-04	3.40E-04	2.24E-04	]	5.01E-03	[	4.22E-24	7.73E-13	5.21E-04	4.49E-03	]	9.93E-01
1.81E+01	6.66E-03	5.92E-07	[	9.44E-19	1.71E-12	5.66E-08	5.35E-07	]	1.89E-03	[	5.43E-27	1.63E-13	1.53E-05	4.19E-05	4.01E-04	5.79E-04	3.13E-04	3.28E-04	2.16E-04	]	4.76E-03	[	2.18E-24	5.39E-13	4.78E-04	4.29E-03	]	9.93E-01
1.83E+01	6.33E-03	5.11E-07	[	5.64E-19	1.21E-12	4.69E-08	4.64E-07	]	1.80E-03	[	2.64E-27	1.09E-13	1.34E-05	3.79E-05	3.74E-04	5.49E-04	3.00E-04	3.15E-04	2.09E-04	]	4.53E-03	[	1.12E-24	3.74E-13	4.38E-04	4.09E-03	]	9.94E-01
1.84E+01	6.02E-03	4.41E-07	[	3.36E-19	8.59E-13	3.89E-08	4.03E-07	]	1.71E-03	[	1.28E-27	7.30E-14	1.17E-05	3.42E-05	3.49E-04	5.19E-04	2.87E-04	3.03E-04	2.02E-04	]	4.31E-03	[	5.77E-25	2.60E-13	4.02E-04	3.91E-03	]	9.94E-01
1.85E+01	5.72E-03	3.81E-07	[	1.99E-19	6.07E-13	3.21E-08	3.48E-07	]	1.62E-03	[	6.18E-28	4.85E-14	1.02E-05	3.08E-05	3.24E-04	4.91E-04	2.74E-04	2.92E-04	1.95E-04	]	4.10E-03	[	2.95E-25	1.79E-13	3.68E-04	3.73E-03	]	9.94E-01
1.86E+01	5.43E-03	3.28E-07	[	1.18E-19	4.27E-13	2.65E-08	3.01E-07	]	1.53E-03	[	2.97E-28	3.21E-14	8.84E-06	2.77E-05	3.02E-04	4.65E-04	2.62E-04	2.80E-04	1.88E-04	]	3.90E-03	[	1.50E-25	1.24E-13	3.37E-04	3.56E-03	]	9.95E-01
1.87E+01	5.16E-03	2.82E-07	[	6.94E-20	3.00E-13	2.18E-08	2.60E-07	]	1.45E-03	[	1.43E-28	2.12E-14	7.67E-06	2.49E-05	2.80E-04	4.39E-04	2.50E-04	2.69E-04	1.81E-04	]	3.71E-03	[	7.64E-26	8.50E-14	3.08E-04	3.40E-03	]	9.95E-01
1.88E+01	4.90E-03	2.42E-07	[	4.08E-20	2.09E-13	1.79E-08	2.24E-07	]	1.38E-03	[	6.81E-29	1.39E-14	6.64E-06	2.23E-05	2.60E-04	4.14E-04	2.39E-04	2.59E-04	1.75E-04	]	3.53E-03	[	3.87E-26	5.83E-14	2.81E-04	3.25E-03	]	9.95E-01
1.89E+01	4.66E-03	2.07E-07	[	2.38E-20	1.46E-13	1.47E-08	1.93E-07	]	1.30E-03	[	3.24E-29	9.14E-15	5.74E-06	2.00E-05	2.41E-04	3.91E-04	2.28E-04	2.48E-04	1.68E-04	]	3.35E-03	[	1.95E-26	3.99E-14	2.57E-04	3.10E-03	]	9.95E-01
1.90E+01	4.42E-03	1.78E-07	[	1.39E-20	1.01E-13	1.20E-08	1.66E-07	]	1.23E-03	[	1.54E-29	5.97E-15	4.96E-06	1.79E-05	2.24E-04	3.68E-04	2.17E-04	2.38E-04	1.62E-04	]	3.19E-03	[	9.79E-27	2.72E-14	2.34E-04	2.95E-03	]	9.96E-01
1.92E+01	4.20E-03	1.52E-07	[	8.07E-21	7.03E-14	9.79E-09	1.42E-07	]	1.17E-03	[	7.29E-30	3.89E-15	4.27E-06	1.60E-05	2.07E-04	3.47E-04	2.07E-04	2.28E-04	1.56E-04	]	3.03E-03	[	4.90E-27	1.85E-14	2.14E-04	2.82E-03	]	9.96E-01
1.93E+01	3.99E-03	1.30E-07	[	4.67E-21	4.86E-14	7.97E-09	1.22E-07	]	1.10E-03	[	3.44E-30	2.52E-15	3.67E-06	1.43E-05	1.92E-04	3.26E-04	1.97E-04	2.19E-04	1.50E-04	]	2.88E-03	[	2.45E-27	1.25E-14	1.95E-04	2.69E-03	]	9.96E-01
1.94E+01	3.78E-03	1.11E-07	[	2.69E-21	3.34E-14	6.48E-09	1.04E-07	]	1.04E-03	[	1.62E-30	1.63E-15	3.15E-06	1.27E-05	1.77E-04	3.07E-04	1.87E-04	2.10E-04	1.44E-04	]	2.74E-03	[	1.22E-27	8.48E-15	1.78E-04	2.56E-03	]	9.96E-01
1.95E+01	3.59E-03	9.43E-08	[	1.55E-21	2.29E-14	5.26E-09	8.91E-08	]	9.84E-04	[	7.58E-31	1.05E-15	2.70E-06	1.13E-05	1.64E-04	2.89E-04	1.78E-04	2.01E-04	1.39E-04	]	2.61E-03	[	6.04E-28	5.72E-15	1.62E-04	2.44E-03	]	9.96E-01
1.96E+01	3.41E-03	8.03E-08	[	8.88E-22	1.57E-14	4.26E-09	7.60E-08	]	9.29E-04	[	3.54E-31	6.76E-16	2.31E-06	1.01E-05	1.51E-04	2.71E-04	1.69E-04	1.92E-04	1.33E-04	]	2.48E-03	[	2.98E-28	3.85E-15	1.47E-04	2.33E-03	]	9.97E-01
1.97E+01	3.23E-03	6.82E-08	[	5.07E-22	1.07E-14	3.44E-09	6.48E-08	]	8.77E-04	[	1.65E-31	4.33E-16	1.98E-06	8.92E-06	1.40E-04	2.55E-04	1.61E-04	1.84E-04	1.28E-04	]	2.35E-03	[	1.47E-28	2.58E-15	1.34E-04	2.22E-03	]	9.97E-01
1.98E+01	3.07E-03	5.79E-08	[	2.89E-22	7.29E-15	2.78E-09	5.51E-08	]	8.28E-04	[	7.66E-32	2.76E-16	1.69E-06	7.90E-06	1.29E-04	2.39E-04	1.53E-04	1.75E-04	1.23E-04	]	2.24E-03	[	7.22E-29	1.73E-15	1.22E-04	2.12E-03	]	9.97E-01
2.00E+01	2.91E-03	4.90E-08	[	1.64E-22	4.94E-15	2.24E-09	4.68E-08	]	7.81E-04	[	3.55E-32	1.76E-16	1.44E-06	6.99E-06	1.18E-04	2.24E-04	1.45E-04	1.68E-04	1.18E-04	]	2.13E-03	[	3.53E-29	1.15E-15	1.11E-04	2.02E-03	]	9.97E-01
2.01E+01	2.76E-03	4.15E-08	[	9.27E-23	3.34E-15	1.80E-09	3.97E-08	]	7.37E-04	[	1.64E-32	1.12E-16	1.22E-06	6.18E-06	1.09E-04	2.10E-04	1.37E-04	1.60E-04	1.13E-04	]	2.02E-03	[	1.72E-29	7.68E-16	1.01E-04	1.92E-03	]	9.97E-01
2.02E+01	2.62E-03	3.51E-08	[	5.22E-23	2.25E-15	1.44E-09	3.36E-08	]	6.95E-04	[	7.54E-33	7.06E-17	1.04E-06	5.45E-06	1.00E-04	1.97E-04	1.30E-04	1.53E-04	1.08E-04	]	1.92E-03	[	8.39E-30	5.10E-16	9.13E-05	1.83E-03	]	9.97E-01
2.03E+01	2.48E-03	2.96E-08	[	2.94E-23	1.52E-15	1.15E-09	2.84E-08	]	6.55E-04	[	3.46E-33	4.45E-17	8.80E-07	4.80E-06	9.22E-05	1.84E-04	1.23E-04	1.46E-04	1.04E-04	]	1.83E-03	[	4.07E-30	3.38E-16	8.29E-05	1.74E-03	]	9.98E-01
2.04E+01	2.35E-03	2.49E-08	[	1.65E-23	1.02E-15	9.23E-10	2.40E-08	]	6.17E-04	[	1.58E-33	2.80E-17	7.45E-07	4.23E-06	8.47E-05	1.72E-04	1.17E-04	1.39E-04	9.94E-05	]	1.74E-03	[	1.97E-30	2.23E-16	7.52E-05	1.66E-03	]	9.98E-01
2.05E+01	2.23E-03	2.10E-08	[	9.19E-24	6.79E-16	7.36E-10	2.03E-08	]	5.81E-04	[	7.23E-34	1.75E-17	6.29E-07	3.71E-06	7.78E-05	1.61E-04	1.10E-04	1.32E-04	9.51E-05	]	1.65E-03	[	9.50E-31	1.47E-16	6.82E-05	1.58E-03	]	9.98E-01
2.06E+01	2.11E-03	1.76E-08	[	5.12E-24	4.53E-16	5.86E-10	1.71E-08	]	5.47E-04	[	3.29E-34	1.10E-17	5.31E-07	3.26E-06	7.13E-05	1.50E-04	1.04E-04	1.26E-04	9.10E-05	]	1.57E-03	[	4.57E-31	9.66E-17	6.18E-05	1.51E-03	]	9.98E-01
2.07E+01	2.00E-03	1.48E-08	[	2.84E-24	3.01E-16	4.66E-10	1.43E-08	]	5.14E-04	[	1.49E-34	6.82E-18	4.47E-07	2.86E-06	6.54E-05	1.40E-04	9.87E-05	1.20E-04	8.70E-05	]	1.49E-03	[	2.19E-31	6.34E-17	5.60E-05	1.43E-03	]	9.98E-01
2.09E+01	1.90E-03	1.24E-08	[	1.57E-24	2.00E-16	3.69E-10	1.20E-08	]	4.84E-04	[	6.76E-35	4.24E-18	3.76E-07	2.50E-06	5.99E-05	1.31E-04	9.32E-05	1.14E-04	8.31E-05	]	1.41E-03	[	1.05E-31	4.14E-17	5.07E-05	1.36E-03	]	9.98E-01
2.10E+01	1.80E-03	1.04E-08	[	8.68E-25	1.32E-16	2.93E-10	1.01E-08	]	4.55E-04	[	3.05E-35	2.62E-18	3.16E-07	2.18E-06	5.48E-05	1.22E-04	8.80E-05	1.08E-04	7.94E-05	]	1.34E-03	[	5.00E-32	2.70E-17	4.59E-05	1.30E-03	]	9.98E-01
2.11E+01	1.70E-03	8.69E-09	[	4.78E-25	8.71E-17	2.31E-10	8.46E-09	]	4.28E-04	[	1.37E-35	1.62E-18	2.65E-07	1.91E-06	5.01E-05	1.14E-04	8.30E-05	1.03E-04	7.57E-05	]	1.28E-03	[	2.38E-32	1.76E-17	4.15E-05	1.23E-03	]	9.98E-01
2.12E+01	1.61E-03	7.26E-09	[	2.62E-25	5.73E-17	1.82E-10	7.07E-09	]	4.02E-04	[	6.17E-36	9.98E-19	2.22E-07	1.66E-06	4.58E-05	1.06E-04	7.82E-05	9.76E-05	7.23E-05	]	1.21E-03	[	1.13E-32	1.14E-17	3.75E-05	1.17E-03	]	9.98E-01
2.13E+01	1.53E-03	6.05E-09	[	1.43E-25	3.76E-17	1.44E-10	5.91E-09	]	3.78E-04	[	2.76E-36	6.13E-19	1.86E-07	1.45E-06	4.19E-05	9.89E-05	7.37E-05	9.26E-05	6.89E-05	]	1.15E-03	[	5.33E-33	7.40E-18	3.39E-05	1.12E-03	]	9.98E-01
2.14E+01	1.45E-03	5.04E-09	[	7.82E-26	2.46E-17	1.13E-10	4.92E-09	]	3.55E-04	[	1.23E-36	3.75E-19	1.55E-07	1.26E-06	3.82E-05	9.20E-05	6.94E-05	8.79E-05	6.57E-05	]	1.09E-03	[	2.52E-33	4.78E-18	3.06E-05	1.06E-03	]	9.99E-01
2.15E+01	1.37E-03	4.19E-09	[	4.25E-26	1.61E-17	8.86E-11	4.10E-09	]	3.33E-04	[	5.50E-37	2.29E-19	1.29E-07	1.09E-06	3.48E-05	8.56E-05	6.53E-05	8.33E-05	6.26E-05	]	1.04E-03	[	1.18E-33	3.08E-18	2.77E-05	1.01E-03	]	9.99E-01
2.17E+01	1.30E-03	3.48E-09	[	2.31E-26	1.05E-17	6.94E-11	3.41E-09	]	3.12E-04	[	2.45E-37	1.40E-19	1.08E-07	9.47E-07	3.18E-05	7.96E-05	6.14E-05	7.89E-05	5.96E-05	]	9.85E-04	[	5.56E-34	1.98E-18	2.50E-05	9.60E-04	]	9.99E-01
2.18E+01	1.23E-03	2.88E-09	[	1.25E-26	6.79E-18	5.42E-11	2.83E-09	]	2.93E-04	[	1.08E-37	8.48E-20	8.95E-08	8.20E-07	2.89E-05	7.40E-05	5.77E-05	7.47E-05	5.67E-05	]	9.35E-04	[	2.60E-34	1.27E-18	2.25E-05	9.13E-04	]	9.99E-01
2.19E+01	1.16E-03	2.39E-09	[	6.74E-27	4.40E-18	4.23E-11	2.35E-09	]	2.75E-04	[	4.80E-38	5.13E-20	7.43E-08	7.10E-07	2.63E-05	6.87E-05	5.42E-05	7.07E-05	5.39E-05	]	8.88E-04	[	1.22E-34	8.12E-19	2.03E-05	8.67E-04	]	9.99E-01
2.20E+01	1.10E-03	1.98E-09	[	3.62E-27	2.84E-18	3.30E-11	1.94E-09	]	2.57E-04	[	2.12E-38	3.10E-20	6.16E-08	6.13E-07	2.40E-05	6.38E-05	5.09E-05	6.69E-05	5.12E-05	]	8.42E-04	[	5.67E-35	5.18E-19	1.83E-05	8.24E-04	]	9.99E-01
2.21E+01	1.04E-03	1.63E-09	[	1.94E-27	1.83E-18	2.56E-11	1.61E-09	]	2.41E-04	[	9.33E-39	1.87E-20	5.10E-08	5.29E-07	2.18E-05	5.92E-05	4.78E-05	6.32E-05	4.87E-05	]	7.99E-04	[	2.63E-35	3.30E-19	1.65E-05	7.83E-04	]	9.99E-01
2.22E+01	9.84E-04	1.35E-09	[	1.04E-27	1.18E-18	1.99E-11	1.33E-09	]	2.26E-04	[	4.10E-39	1.12E-20	4.21E-08	4.56E-07	1.98E-05	5.49E-05	4.48E-05	5.97E-05	4.62E-05	]	7.58E-04	[	1.22E-35	2.10E-19	1.49E-05	7.43E-04	]	9.99E-01
2.23E+01	9.31E-04	1.11E-09	[	5.55E-28	7.55E-19	1.54E-11	1.09E-09	]	2.11E-04	[	1.80E-39	6.73E-21	3.48E-08	3.92E-07	1.80E-05	5.08E-05	4.20E-05	5.64E-05	4.39E-05	]	7.19E-04	[	5.65E-36	1.33E-19	1.34E-05	7.06E-04	]	9.99E-01
2.24E+01	8.80E-04	9.11E-10	[	2.96E-28	4.83E-19	1.19E-11	8.99E-10	]	1.98E-04	[	7.85E-40	4.02E-21	2.87E-08	3.37E-07	1.63E-05	4.71E-05	3.93E-05	5.32E-05	4.16E-05	]	6.82E-04	[	2.61E-36	8.40E-20	1.21E-05	6.70E-04	]	9.99E-01
2.26E+01	8.32E-04	7.49E-10	[	1.57E-28	3.09E-19	9.21E-12	7.39E-10	]	1.85E-04	[	3.43E-40	2.40E-21	2.36E-08	2.89E-07	1.48E-05	4.36E-05	3.68E-05	5.02E-05	3.94E-05	]	6.47E-04	[	1.20E-36	5.30E-20	1.09E-05	6.36E-04	]	9.99E-01
2.27E+01	7.87E-04	6.14E-10	[	8.32E-29	1.96E-19	7.10E-12	6.07E-10	]	1.73E-04	[	1.49E-40	1.43E-21	1.94E-08	2.48E-07	1.34E-05	4.03E-05	3.45E-05	4.73E-05	3.74E-05	]	6.14E-04	[	5.52E-37	3.34E-20	9.76E-06	6.04E-04	]	9.99E-01
2.28E+01	7.44E-04	5.03E-10	[	4.39E-29	1.25E-19	5.46E-12	4.98E-10	]	1.62E-04	[	6.48E-41	8.46E-22	1.59E-08	2.12E-07	1.21E-05	3.73E-05	3.22E-05	4.46E-05	3.54E-05	]	5.82E-04	[	2.53E-37	2.10E-20	8.78E-06	5.73E-04	]	9.99E-01
2.29E+01	7.03E-04	4.11E-10	[	2.32E-29	7.91E-20	4.20E-12	4.07E-10	]	1.51E-04	[	2.81E-41	5.00E-22	1.31E-08	1.82E-07	1.10E-05	3.45E-05	3.01E-05	4.20E-05	3.35E-05	]	5.51E-04	[	1.16E-37	1.31E-20	7.89E-06	5.44E-04	]	9.99E-01
2.30E+01	6.64E-04	3.36E-10	[	1.22E-29	5.00E-20	3.22E-12	3.33E-10	]	1.41E-04	[	1.22E-41	2.95E-22	1.07E-08	1.55E-07	9.91E-06	3.19E-05	2.81E-05	3.95E-05	3.17E-05	]	5.23E-04	[	5.29E-38	8.21E-21	7.08E-06	5.15E-04	]	9.99E-01
2.31E+01	6.27E-04	2.74E-10	[	6.38E-30	3.16E-20	2.46E-12	2.72E-10	]	1.32E-04	[	5.25E-42	1.74E-22	8.74E-09	1.32E-07	8.96E-06	2.94E-05	2.63E-05	3.71E-05	3.00E-05	]	4.95E-04	[	2.41E-38	5.12E-21	6.36E-06	4.89E-04	]	9.99E-01
2.32E+01	5.92E-04	2.23E-10	[	3.34E-30	1.99E-20	1.88E-12	2.22E-10	]	1.23E-04	[	2.26E-42	1.02E-22	7.14E-09	1.13E-07	8.09E-06	2.72E-05	2.45E-05	3.49E-05	2.83E-05	]	4.69E-04	[	1.09E-38	3.19E-21	5.71E-06	4.63E-04	]	9.99E-01
2.34E+01	5.59E-04	1.82E-10	[	1.74E-30	1.25E-20	1.44E-12	1.80E-10	]	1.15E-04	[	9.72E-43	5.98E-23	5.82E-09	9.60E-08	7.30E-06	2.50E-05	2.29E-05	3.28E-05	2.68E-05	]	4.44E-04	[	4.96E-39	1.98E-21	5.12E-06	4.39E-04	]	9.99E-01
2.35E+01	5.28E-04	1.48E-10	[	9.07E-31	7.82E-21	1.09E-12	1.47E-10	]	1.07E-04	[	4.17E-43	3.50E-23	4.74E-09	8.16E-08	6.58E-06	2.31E-05	2.13E-05	3.08E-05	2.53E-05	]	4.21E-04	[	2.25E-39	1.23E-21	4.59E-06	4.16E-04	]	9.99E-01
2.36E+01	4.98E-04	1.20E-10	[	4.71E-31	4.89E-21	8.33E-13	1.19E-10	]	9.99E-05	[	1.79E-43	2.04E-23	3.85E-09	6.93E-08	5.93E-06	2.13E-05	1.99E-05	2.89E-05	2.38E-05	]	3.99E-04	[	1.01E-39	7.59E-22	4.11E-06	3.94E-04	]	1.00E+00
2.37E+01	4.70E-04	9.71E-11	[	2.44E-31	3.05E-21	6.32E-13	9.65E-11	]	9.31E-05	[	7.64E-44	1.19E-23	3.13E-09	5.87E-08	5.34E-06	1.96E-05	1.85E-05	2.71E-05	2.25E-05	]	3.77E-04	[	4.58E-40	4.68E-22	3.69E-06	3.74E-04	]	1.00E+00
2.38E+01	4.44E-04	7.86E-11	[	1.26E-31	1.90E-21	4.79E-13	7.81E-11	]	8.67E-05	[	3.26E-44	6.89E-24	2.54E-09	4.97E-08	4.81E-06	1.80E-05	1.72E-05	2.54E-05	2.12E-05	]	3.57E-04	[	2.06E-40	2.88E-22	3.30E-06	3.54E-04	]	1.00E+00
2.39E+01	4.19E-04	6.35E-11	[	6.51E-32	1.18E-21	3.63E-13	6.31E-11	]	8.08E-05	[	1.39E-44	3.99E-24	2.06E-09	4.21E-08	4.32E-06	1.66E-05	1.60E-05	2.38E-05	2.00E-05	]	3.38E-04	[	9.24E-41	1.77E-22	2.95E-06	3.35E-04	]	1.00E+00
2.40E+01	3.95E-04	5.12E-11	[	3.35E-32	7.31E-22	2.74E-13	5.10E-11	]	7.52E-05	[	5.89E-45	2.30E-24	1.66E-09	3.55E-08	3.89E-06	1.53E-05	1.49E-05	2.23E-05	1.88E-05	]	3.20E-04	[	4.14E-41	1.08E-22	2.64E-06	3.17E-04	]	1.00E+00
2.41E+01	3.73E-04	4.13E-11	[	1.72E-32	4.52E-22	2.07E-13	4.11E-11	]	7.00E-05	[	2.50E-45	1.33E-24	1.34E-09	3.00E-08	3.49E-06	1.40E-05	1.38E-05	2.09E-05	1.77E-05	]	3.03E-04	[	1.85E-41	6.63E-23	2.36E-06	3.00E-04	]	1.00E+00
2.43E+01	3.51E-04	3.32E-11	[	8.80E-33	2.79E-22	1.56E-13	3.31E-11	]	6.51E-05	[	1.06E-45	7.64E-25	1.08E-09	2.53E-08	3.13E-06	1.29E-05	1.28E-05	1.95E-05	1.66E-05	]	2.86E-04	[	8.27E-42	4.05E-23	2.11E-06	2.84E-04	]	1.00E+00
2.44E+01	3.31E-04	2.67E-11	[	4.50E-33	1.72E-22	1.17E-13	2.66E-11	]	6.05E-05	[	4.47E-46	4.38E-25	8.73E-10	2.13E-08	2.81E-06	1.18E-05	1.19E-05	1.83E-05	1.56E-05	]	2.71E-04	[	3.68E-42	2.47E-23	1.89E-06	2.69E-04	]	1.00E+00
2.45E+01	3.12E-04	2.14E-11	[	2.29E-33	1.06E-22	8.78E-14	2.14E-11	]	5.62E-05	[	1.89E-46	2.51E-25	7.02E-10	1.79E-08	2.52E-06	1.09E-05	1.11E-05	1.71E-05	1.47E-05	]	2.56E-04	[	1.64E-42	1.50E-23	1.69E-06	2.54E-04	]	1.00E+00
2.46E+01	2.94E-04	1.72E-11	[	1.17E-33	6.47E-23	6.58E-14	1.71E-11	]	5.23E-05	[	7.95E-47	1.43E-25	5.64E-10	1.50E-08	2.26E-06	9.95E-06	1.03E-05	1.60E-05	1.38E-05	]	2.42E-04	[	7.28E-43	9.09E-24	1.50E-06	2.40E-04	]	1.00E+00
2.47E+01	2.77E-04	1.38E-11	[	5.93E-34	3.96E-23	4.92E-14	1.37E-11	]	4.85E-05	[	3.34E-47	8.17E-26	4.53E-10	1.26E-08	2.02E-06	9.13E-06	9.51E-06	1.49E-05	1.30E-05	]	2.29E-04	[	3.22E-43	5.50E-24	1.34E-06	2.27E-04	]	1.00E+00
2.48E+01	2.61E-04	1.10E-11	[	3.00E-34	2.42E-23	3.67E-14	1.10E-11	]	4.51E-05	[	1.40E-47	4.65E-26	3.63E-10	1.06E-08	1.81E-06	8.36E-06	8.81E-06	1.39E-05	1.22E-05	]	2.16E-04	[	1.43E-43	3.32E-24	1.20E-06	2.15E-04	]	1.00E+00
2.49E+01	2.46E-04	8.78E-12	[	1.52E-34	1.47E-23	2.74E-14	8.75E-12	]	4.18E-05	[	5.87E-48	2.64E-26	2.91E-10	8.85E-09	1.62E-06	7.65E-06	8.16E-06	1.30E-05	1.14E-05	]	2.04E-04	[	6.30E-44	2.00E-24	1.07E-06	2.03E-04	]	1.00E+00
2.51E+01	2.32E-04	7.00E-12	[	7.66E-35	8.96E-24	2.04E-14	6.98E-12	]	3.88E-05	[	2.46E-48	1.49E-26	2.32E-10	7.40E-09	1.45E-06	7.01E-06	7.55E-06	1.21E-05	1.07E-05	]	1.93E-04	[	2.77E-44	1.20E-24	9.50E-07	1.92E-04	]	1.00E+00
2.52E+01	2.18E-04	5.57E-12	[	3.85E-35	5.44E-24	1.52E-14	5.56E-12	]	3.60E-05	[	1.03E-48	8.44E-27	1.86E-10	6.18E-09	1.29E-06	6.41E-06	6.98E-06	1.13E-05	1.00E-05	]	1.82E-04	[	1.22E-44	7.23E-25	8.46E-07	1.81E-04	]	1.00E+00
2.53E+01	2.05E-04	4.43E-12	[	1.94E-35	3.29E-24	1.13E-14	4.42E-12	]	3.33E-05	[	4.28E-49	4.76E-27	1.48E-10	5.16E-09	1.15E-06	5.86E-06	6.45E-06	1.05E-05	9.38E-06	]	1.72E-04	[	5.36E-45	4.33E-25	7.53E-07	1.71E-04	]	1.00E+00
2.54E+01	1.93E-04	3.52E-12	[	9.71E-36	1.99E-24	8.34E-15	3.51E-12	]	3.09E-05	[	1.78E-49	2.68E-27	1.18E-10	4.30E-09	1.03E-06	5.35E-06	5.96E-06	9.76E-06	8.78E-06	]	1.62E-04	[	2.35E-45	2.59E-25	6.70E-07	1.62E-04	]	1.00E+00
2.55E+01	1.82E-04	2.79E-12	[	4.85E-36	1.20E-24	6.17E-15	2.78E-12	]	2.86E-05	[	7.39E-50	1.50E-27	9.37E-11	3.58E-09	9.16E-07	4.89E-06	5.51E-06	9.08E-06	8.22E-06	]	1.53E-04	[	1.03E-45	1.54E-25	5.96E-07	1.52E-04	]	1.00E+00
2.56E+01	1.71E-04	2.21E-12	[	2.42E-36	7.23E-25	4.56E-15	2.21E-12	]	2.65E-05	[	3.07E-50	8.42E-28	7.44E-11	2.97E-09	8.15E-07	4.46E-06	5.08E-06	8.44E-06	7.68E-06	]	1.44E-04	[	4.50E-46	9.20E-26	5.29E-07	1.44E-04	]	1.00E+00
2.57E+01	1.61E-04	1.75E-12	[	1.21E-36	4.35E-25	3.36E-15	1.74E-12	]	2.45E-05	[	1.27E-50	4.71E-28	5.91E-11	2.47E-09	7.26E-07	4.07E-06	4.69E-06	7.85E-06	7.18E-06	]	1.36E-04	[	1.96E-46	5.46E-26	4.70E-07	1.36E-04	]	1.00E+00
2.58E+01	1.51E-04	1.38E-12	[	6.00E-37	2.61E-25	2.47E-15	1.38E-12	]	2.27E-05	[	5.25E-51	2.63E-28	4.68E-11	2.05E-09	6.45E-07	3.71E-06	4.32E-06	7.29E-06	6.71E-06	]	1.28E-04	[	8.54E-47	3.24E-26	4.17E-07	1.28E-04	]	1.00E+00
2.60E+01	1.42E-04	1.09E-12	[	2.98E-37	1.56E-25	1.82E-15	1.09E-12	]	2.10E-05	[	2.17E-51	1.46E-28	3.70E-11	1.70E-09	5.74E-07	3.38E-06	3.99E-06	6.77E-06	6.26E-06	]	1.21E-04	[	3.72E-47	1.92E-26	3.70E-07	1.21E-04	]	1.00E+00
2.61E+01	1.34E-04	8.58E-13	[	1.48E-37	9.31E-26	1.34E-15	8.57E-13	]	1.94E-05	[	8.94E-52	8.12E-29	2.93E-11	1.40E-09	5.10E-07	3.08E-06	3.67E-06	6.28E-06	5.84E-06	]	1.14E-04	[	1.61E-47	1.13E-26	3.29E-07	1.14E-04	]	1.00E+00
2.62E+01	1.25E-04	6.75E-13	[	7.29E-38	5.55E-26	9.79E-16	6.74E-13	]	1.79E-05	[	3.68E-52	4.50E-29	2.31E-11	1.16E-09	4.52E-07	2.80E-06	3.38E-06	5.83E-06	5.45E-06	]	1.08E-04	[	6.99E-48	6.68E-27	2.91E-07	1.07E-04	]	1.00E+00
2.63E+01	1.18E-04	5.30E-13	[	3.60E-38	3.30E-26	7.16E-16	5.30E-13	]	1.66E-05	[	1.51E-52	2.49E-29	1.82E-11	9.59E-10	4.01E-07	2.55E-06	3.11E-06	5.40E-06	5.08E-06	]	1.01E-04	[	3.03E-48	3.93E-27	2.58E-07	1.01E-04	]	1.00E+00
2.64E+01	1.11E-04	4.16E-13	[	1.77E-38	1.96E-26	5.23E-16	4.16E-13	]	1.53E-05	[	6.21E-53	1.38E-29	1.43E-11	7.91E-10	3.56E-07	2.32E-06	2.86E-06	5.01E-06	4.74E-06	]	9.55E-05	[	1.31E-48	2.31E-27	2.29E-07	9.52E-05	]	1.00E+00
2.65E+01	1.04E-04	3.26E-13	[	8.70E-39	1.16E-26	3.82E-16	3.26E-13	]	1.41E-05	[	2.54E-53	7.58E-30	1.13E-11	6.52E-10	3.15E-07	2.11E-06	2.63E-06	4.64E-06	4.41E-06	]	8.99E-05	[	5.64E-49	1.35E-27	2.02E-07	8.97E-05	]	1.00E+00
2.66E+01	9.76E-05	2.55E-13	[	4.26E-39	6.88E-27	2.78E-16	2.55E-13	]	1.30E-05	[	1.04E-53	4.17E-30	8.86E-12	5.36E-10	2.79E-07	1.91E-06	2.42E-06	4.29E-06	4.11E-06	]	8.46E-05	[	2.43E-49	7.90E-28	1.79E-07	8.45E-05	]	1.00E+00
2.68E+01	9.17E-05	2.00E-13	[	2.09E-39	4.06E-27	2.02E-16	1.99E-13	]	1.20E-05	[	4.25E-54	2.29E-30	6.95E-12	4.41E-10	2.47E-07	1.74E-06	2.22E-06	3.97E-06	3.82E-06	]	7.97E-05	[	1.04E-49	4.61E-28	1.58E-07	7.95E-05	]	1.00E+00
2.69E+01	8.60E-05	1.56E-13	[	1.02E-39	2.39E-27	1.47E-16	1.56E-13	]	1.11E-05	[	1.74E-54	1.25E-30	5.45E-12	3.62E-10	2.18E-07	1.58E-06	2.04E-06	3.68E-06	3.55E-06	]	7.50E-05	[	4.48E-50	2.69E-28	1.40E-07	7.48E-05	]	1.00E+00
2.70E+01	8.07E-05	1.21E-13	[	4.97E-40	1.41E-27	1.07E-16	1.21E-13	]	1.02E-05	[	7.07E-55	6.86E-31	4.26E-12	2.97E-10	1.93E-07	1.43E-06	1.87E-06	3.40E-06	3.30E-06	]	7.05E-05	[	1.92E-50	1.56E-28	1.24E-07	7.04E-05	]	1.00E+00
