z [nm]	Overall	L		1	2	3	4		M		1	2	3	4	5	6	7	8	9		H		1	2	3	4		Solvent
2.83E+00	2.97E-02	1.51E-02	[	4.86E-03	2.94E-03	4.47E-03	2.79E-03	]	4.03E-03	[	1.51E-03	1.30E-03	7.03E-04	8.97E-05	1.94E-04	8.80E-05	4.80E-05	5.44E-05	3.98E-05	]	1.06E-02	[	2.96E-03	2.81E-03	3.72E-03	1.09E-03	]	9.70E-01
2.95E+00	2.90E-02	1.44E-02	[	4.43E-03	2.85E-03	4.36E-03	2.73E-03	]	4.02E-03	[	1.40E-03	1.35E-03	7.33E-04	9.22E-05	2.01E-04	9.07E-05	4.94E-05	5.59E-05	4.08E-05	]	1.06E-02	[	2.73E-03	2.85E-03	3.85E-03	1.14E-03	]	9.71E-01
3.06E+00	2.83E-02	1.37E-02	[	4.03E-03	2.77E-03	4.26E-03	2.67E-03	]	4.00E-03	[	1.30E-03	1.39E-03	7.65E-04	9.48E-05	2.09E-04	9.34E-05	5.07E-05	5.74E-05	4.18E-05	]	1.06E-02	[	2.51E-03	2.87E-03	3.99E-03	1.19E-03	]	9.72E-01
3.17E+00	2.77E-02	1.31E-02	[	3.65E-03	2.68E-03	4.17E-03	2.61E-03	]	3.99E-03	[	1.20E-03	1.43E-03	8.00E-04	9.75E-05	2.16E-04	9.61E-05	5.20E-05	5.88E-05	4.27E-05	]	1.06E-02	[	2.31E-03	2.90E-03	4.12E-03	1.23E-03	]	9.72E-01
3.29E+00	2.71E-02	1.25E-02	[	3.31E-03	2.59E-03	4.08E-03	2.55E-03	]	3.98E-03	[	1.10E-03	1.47E-03	8.37E-04	1.00E-04	2.23E-04	9.89E-05	5.33E-05	6.02E-05	4.37E-05	]	1.06E-02	[	2.12E-03	2.92E-03	4.25E-03	1.28E-03	]	9.73E-01
3.40E+00	2.65E-02	1.20E-02	[	2.99E-03	2.51E-03	3.99E-03	2.49E-03	]	3.98E-03	[	1.00E-03	1.50E-03	8.77E-04	1.03E-04	2.30E-04	1.02E-04	5.46E-05	6.16E-05	4.47E-05	]	1.06E-02	[	1.94E-03	2.93E-03	4.39E-03	1.33E-03	]	9.73E-01
3.51E+00	2.61E-02	1.15E-02	[	2.70E-03	2.42E-03	3.91E-03	2.43E-03	]	3.98E-03	[	9.14E-04	1.53E-03	9.19E-04	1.06E-04	2.37E-04	1.05E-04	5.58E-05	6.29E-05	4.57E-05	]	1.06E-02	[	1.77E-03	2.95E-03	4.52E-03	1.37E-03	]	9.74E-01
3.63E+00	2.56E-02	1.10E-02	[	2.44E-03	2.34E-03	3.84E-03	2.38E-03	]	3.98E-03	[	8.30E-04	1.56E-03	9.64E-04	1.09E-04	2.45E-04	1.07E-04	5.71E-05	6.43E-05	4.67E-05	]	1.06E-02	[	1.61E-03	2.95E-03	4.66E-03	1.42E-03	]	9.74E-01
3.74E+00	2.52E-02	1.05E-02	[	2.20E-03	2.26E-03	3.77E-03	2.32E-03	]	3.99E-03	[	7.50E-04	1.58E-03	1.01E-03	1.13E-04	2.52E-04	1.10E-04	5.84E-05	6.58E-05	4.78E-05	]	1.07E-02	[	1.47E-03	2.95E-03	4.80E-03	1.47E-03	]	9.75E-01
3.85E+00	2.49E-02	1.01E-02	[	1.98E-03	2.18E-03	3.70E-03	2.27E-03	]	3.99E-03	[	6.76E-04	1.59E-03	1.06E-03	1.16E-04	2.60E-04	1.14E-04	5.98E-05	6.72E-05	4.90E-05	]	1.07E-02	[	1.33E-03	2.95E-03	4.95E-03	1.51E-03	]	9.75E-01
3.97E+00	2.45E-02	9.73E-03	[	1.78E-03	2.10E-03	3.63E-03	2.22E-03	]	4.01E-03	[	6.06E-04	1.60E-03	1.11E-03	1.20E-04	2.68E-04	1.17E-04	6.12E-05	6.88E-05	5.02E-05	]	1.08E-02	[	1.20E-03	2.94E-03	5.09E-03	1.56E-03	]	9.75E-01
4.08E+00	2.42E-02	9.36E-03	[	1.60E-03	2.02E-03	3.57E-03	2.18E-03	]	4.02E-03	[	5.41E-04	1.61E-03	1.17E-03	1.24E-04	2.76E-04	1.20E-04	6.27E-05	7.04E-05	5.14E-05	]	1.09E-02	[	1.08E-03	2.92E-03	5.24E-03	1.62E-03	]	9.76E-01
4.19E+00	2.40E-02	9.01E-03	[	1.44E-03	1.94E-03	3.50E-03	2.13E-03	]	4.04E-03	[	4.81E-04	1.61E-03	1.23E-03	1.29E-04	2.85E-04	1.24E-04	6.42E-05	7.21E-05	5.28E-05	]	1.09E-02	[	9.71E-04	2.89E-03	5.39E-03	1.67E-03	]	9.76E-01
4.31E+00	2.38E-02	8.69E-03	[	1.29E-03	1.87E-03	3.44E-03	2.09E-03	]	4.06E-03	[	4.26E-04	1.60E-03	1.29E-03	1.34E-04	2.94E-04	1.28E-04	6.59E-05	7.39E-05	5.42E-05	]	1.10E-02	[	8.70E-04	2.86E-03	5.54E-03	1.72E-03	]	9.76E-01
4.42E+00	2.36E-02	8.38E-03	[	1.16E-03	1.79E-03	3.38E-03	2.05E-03	]	4.09E-03	[	3.76E-04	1.59E-03	1.35E-03	1.39E-04	3.04E-04	1.32E-04	6.76E-05	7.58E-05	5.58E-05	]	1.11E-02	[	7.76E-04	2.83E-03	5.70E-03	1.78E-03	]	9.76E-01
4.53E+00	2.34E-02	8.09E-03	[	1.03E-03	1.72E-03	3.32E-03	2.01E-03	]	4.12E-03	[	3.30E-04	1.57E-03	1.41E-03	1.44E-04	3.14E-04	1.36E-04	6.94E-05	7.78E-05	5.74E-05	]	1.12E-02	[	6.90E-04	2.78E-03	5.86E-03	1.84E-03	]	9.77E-01
4.65E+00	2.32E-02	7.81E-03	[	9.25E-04	1.65E-03	3.27E-03	1.97E-03	]	4.15E-03	[	2.88E-04	1.55E-03	1.48E-03	1.50E-04	3.25E-04	1.40E-04	7.14E-05	7.99E-05	5.91E-05	]	1.13E-02	[	6.12E-04	2.73E-03	6.02E-03	1.90E-03	]	9.77E-01
4.76E+00	2.31E-02	7.55E-03	[	8.26E-04	1.58E-03	3.21E-03	1.93E-03	]	4.18E-03	[	2.51E-04	1.53E-03	1.55E-03	1.56E-04	3.37E-04	1.45E-04	7.34E-05	8.22E-05	6.09E-05	]	1.14E-02	[	5.40E-04	2.68E-03	6.18E-03	1.97E-03	]	9.77E-01
4.87E+00	2.30E-02	7.30E-03	[	7.37E-04	1.51E-03	3.15E-03	1.90E-03	]	4.22E-03	[	2.17E-04	1.50E-03	1.62E-03	1.63E-04	3.49E-04	1.50E-04	7.56E-05	8.46E-05	6.28E-05	]	1.15E-02	[	4.75E-04	2.62E-03	6.35E-03	2.04E-03	]	9.77E-01
4.99E+00	2.29E-02	7.06E-03	[	6.56E-04	1.44E-03	3.09E-03	1.87E-03	]	4.26E-03	[	1.87E-04	1.47E-03	1.69E-03	1.70E-04	3.62E-04	1.55E-04	7.80E-05	8.72E-05	6.49E-05	]	1.16E-02	[	4.16E-04	2.55E-03	6.52E-03	2.11E-03	]	9.77E-01
5.10E+00	2.28E-02	6.83E-03	[	5.83E-04	1.37E-03	3.04E-03	1.83E-03	]	4.30E-03	[	1.60E-04	1.43E-03	1.76E-03	1.78E-04	3.76E-04	1.61E-04	8.05E-05	8.99E-05	6.71E-05	]	1.17E-02	[	3.63E-04	2.48E-03	6.69E-03	2.19E-03	]	9.77E-01
5.21E+00	2.28E-02	6.60E-03	[	5.18E-04	1.31E-03	2.98E-03	1.80E-03	]	4.35E-03	[	1.37E-04	1.39E-03	1.83E-03	1.86E-04	3.91E-04	1.66E-04	8.31E-05	9.28E-05	6.94E-05	]	1.18E-02	[	3.16E-04	2.41E-03	6.86E-03	2.27E-03	]	9.77E-01
5.33E+00	2.28E-02	6.39E-03	[	4.59E-04	1.24E-03	2.92E-03	1.77E-03	]	4.40E-03	[	1.16E-04	1.35E-03	1.90E-03	1.95E-04	4.07E-04	1.73E-04	8.59E-05	9.60E-05	7.18E-05	]	1.20E-02	[	2.73E-04	2.33E-03	7.03E-03	2.35E-03	]	9.77E-01
5.44E+00	2.28E-02	6.18E-03	[	4.05E-04	1.18E-03	2.86E-03	1.74E-03	]	4.45E-03	[	9.82E-05	1.30E-03	1.98E-03	2.04E-04	4.23E-04	1.79E-04	8.89E-05	9.93E-05	7.44E-05	]	1.21E-02	[	2.35E-04	2.25E-03	7.21E-03	2.44E-03	]	9.77E-01
5.55E+00	2.28E-02	5.98E-03	[	3.58E-04	1.11E-03	2.80E-03	1.71E-03	]	4.50E-03	[	8.26E-05	1.26E-03	2.05E-03	2.14E-04	4.41E-04	1.86E-04	9.21E-05	1.03E-04	7.71E-05	]	1.23E-02	[	2.02E-04	2.16E-03	7.38E-03	2.53E-03	]	9.77E-01
5.67E+00	2.28E-02	5.79E-03	[	3.15E-04	1.05E-03	2.74E-03	1.68E-03	]	4.56E-03	[	6.91E-05	1.21E-03	2.13E-03	2.24E-04	4.60E-04	1.94E-04	9.56E-05	1.07E-04	8.00E-05	]	1.24E-02	[	1.73E-04	2.08E-03	7.56E-03	2.63E-03	]	9.77E-01
5.78E+00	2.28E-02	5.60E-03	[	2.76E-04	9.93E-04	2.68E-03	1.65E-03	]	4.63E-03	[	5.76E-05	1.16E-03	2.20E-03	2.35E-04	4.80E-04	2.02E-04	9.92E-05	1.11E-04	8.30E-05	]	1.26E-02	[	1.47E-04	1.99E-03	7.73E-03	2.74E-03	]	9.77E-01
5.89E+00	2.29E-02	5.42E-03	[	2.42E-04	9.35E-04	2.62E-03	1.62E-03	]	4.69E-03	[	4.77E-05	1.11E-03	2.27E-03	2.47E-04	5.02E-04	2.10E-04	1.03E-04	1.15E-04	8.62E-05	]	1.28E-02	[	1.25E-04	1.90E-03	7.91E-03	2.85E-03	]	9.77E-01
6.01E+00	2.30E-02	5.24E-03	[	2.12E-04	8.78E-04	2.56E-03	1.59E-03	]	4.76E-03	[	3.93E-05	1.05E-03	2.35E-03	2.60E-04	5.25E-04	2.19E-04	1.07E-04	1.19E-04	8.96E-05	]	1.30E-02	[	1.05E-04	1.81E-03	8.08E-03	2.96E-03	]	9.77E-01
6.12E+00	2.30E-02	5.07E-03	[	1.85E-04	8.23E-04	2.49E-03	1.56E-03	]	4.83E-03	[	3.23E-05	1.00E-03	2.42E-03	2.73E-04	5.49E-04	2.29E-04	1.12E-04	1.24E-04	9.31E-05	]	1.32E-02	[	8.82E-05	1.72E-03	8.26E-03	3.09E-03	]	9.77E-01
6.23E+00	2.32E-02	4.89E-03	[	1.61E-04	7.70E-04	2.43E-03	1.53E-03	]	4.91E-03	[	2.63E-05	9.48E-04	2.49E-03	2.87E-04	5.74E-04	2.39E-04	1.16E-04	1.29E-04	9.69E-05	]	1.34E-02	[	7.37E-05	1.63E-03	8.43E-03	3.22E-03	]	9.77E-01
6.35E+00	2.33E-02	4.73E-03	[	1.39E-04	7.18E-04	2.37E-03	1.51E-03	]	4.98E-03	[	2.14E-05	8.96E-04	2.56E-03	3.02E-04	6.02E-04	2.50E-04	1.21E-04	1.34E-04	1.01E-04	]	1.36E-02	[	6.13E-05	1.54E-03	8.60E-03	3.35E-03	]	9.77E-01
6.46E+00	2.34E-02	4.56E-03	[	1.21E-04	6.69E-04	2.30E-03	1.48E-03	]	5.07E-03	[	1.73E-05	8.44E-04	2.62E-03	3.17E-04	6.30E-04	2.61E-04	1.26E-04	1.40E-04	1.05E-04	]	1.38E-02	[	5.08E-05	1.45E-03	8.78E-03	3.50E-03	]	9.77E-01
6.57E+00	2.36E-02	4.40E-03	[	1.04E-04	6.22E-04	2.23E-03	1.45E-03	]	5.15E-03	[	1.39E-05	7.94E-04	2.69E-03	3.33E-04	6.61E-04	2.74E-04	1.32E-04	1.46E-04	1.09E-04	]	1.40E-02	[	4.18E-05	1.37E-03	8.95E-03	3.65E-03	]	9.76E-01
6.69E+00	2.37E-02	4.25E-03	[	8.96E-05	5.76E-04	2.16E-03	1.42E-03	]	5.24E-03	[	1.11E-05	7.44E-04	2.75E-03	3.50E-04	6.93E-04	2.87E-04	1.38E-04	1.52E-04	1.14E-04	]	1.42E-02	[	3.43E-05	1.28E-03	9.11E-03	3.81E-03	]	9.76E-01
6.80E+00	2.39E-02	4.09E-03	[	7.69E-05	5.33E-04	2.10E-03	1.39E-03	]	5.33E-03	[	8.82E-06	6.95E-04	2.81E-03	3.68E-04	7.26E-04	3.00E-04	1.44E-04	1.59E-04	1.19E-04	]	1.45E-02	[	2.80E-05	1.20E-03	9.28E-03	3.98E-03	]	9.76E-01
6.91E+00	2.41E-02	3.94E-03	[	6.59E-05	4.92E-04	2.03E-03	1.36E-03	]	5.42E-03	[	6.98E-06	6.48E-04	2.87E-03	3.87E-04	7.62E-04	3.15E-04	1.51E-04	1.66E-04	1.24E-04	]	1.47E-02	[	2.28E-05	1.12E-03	9.45E-03	4.15E-03	]	9.76E-01
7.03E+00	2.43E-02	3.79E-03	[	5.62E-05	4.53E-04	1.96E-03	1.33E-03	]	5.52E-03	[	5.50E-06	6.03E-04	2.92E-03	4.06E-04	8.00E-04	3.30E-04	1.57E-04	1.73E-04	1.29E-04	]	1.50E-02	[	1.84E-05	1.04E-03	9.61E-03	4.34E-03	]	9.76E-01
7.14E+00	2.46E-02	3.65E-03	[	4.79E-05	4.16E-04	1.89E-03	1.30E-03	]	5.62E-03	[	4.30E-06	5.59E-04	2.97E-03	4.26E-04	8.39E-04	3.46E-04	1.65E-04	1.81E-04	1.35E-04	]	1.53E-02	[	1.48E-05	9.66E-04	9.77E-03	4.53E-03	]	9.75E-01
7.25E+00	2.48E-02	3.51E-03	[	4.06E-05	3.81E-04	1.82E-03	1.26E-03	]	5.73E-03	[	3.35E-06	5.17E-04	3.01E-03	4.47E-04	8.80E-04	3.64E-04	1.73E-04	1.89E-04	1.40E-04	]	1.56E-02	[	1.19E-05	8.94E-04	9.92E-03	4.74E-03	]	9.75E-01
7.37E+00	2.51E-02	3.37E-03	[	3.44E-05	3.49E-04	1.75E-03	1.23E-03	]	5.83E-03	[	2.60E-06	4.76E-04	3.05E-03	4.69E-04	9.24E-04	3.82E-04	1.81E-04	1.98E-04	1.46E-04	]	1.59E-02	[	9.46E-06	8.26E-04	1.01E-02	4.96E-03	]	9.75E-01
7.48E+00	2.53E-02	3.23E-03	[	2.90E-05	3.18E-04	1.68E-03	1.20E-03	]	5.94E-03	[	2.00E-06	4.38E-04	3.09E-03	4.91E-04	9.69E-04	4.01E-04	1.90E-04	2.07E-04	1.53E-04	]	1.62E-02	[	7.50E-06	7.60E-04	1.02E-02	5.18E-03	]	9.75E-01
7.59E+00	2.56E-02	3.09E-03	[	2.44E-05	2.89E-04	1.61E-03	1.17E-03	]	6.06E-03	[	1.54E-06	4.02E-04	3.13E-03	5.14E-04	1.02E-03	4.21E-04	1.99E-04	2.17E-04	1.59E-04	]	1.65E-02	[	5.92E-06	6.98E-04	1.04E-02	5.42E-03	]	9.74E-01
7.71E+00	2.60E-02	2.96E-03	[	2.05E-05	2.63E-04	1.54E-03	1.14E-03	]	6.17E-03	[	1.17E-06	3.68E-04	3.16E-03	5.37E-04	1.07E-03	4.42E-04	2.08E-04	2.27E-04	1.66E-04	]	1.68E-02	[	4.65E-06	6.39E-04	1.05E-02	5.67E-03	]	9.74E-01
7.82E+00	2.63E-02	2.83E-03	[	1.71E-05	2.38E-04	1.47E-03	1.11E-03	]	6.29E-03	[	8.91E-07	3.35E-04	3.18E-03	5.62E-04	1.12E-03	4.65E-04	2.18E-04	2.37E-04	1.73E-04	]	1.72E-02	[	3.64E-06	5.83E-04	1.07E-02	5.92E-03	]	9.74E-01
7.93E+00	2.66E-02	2.71E-03	[	1.43E-05	2.15E-04	1.41E-03	1.07E-03	]	6.41E-03	[	6.73E-07	3.05E-04	3.20E-03	5.86E-04	1.17E-03	4.88E-04	2.29E-04	2.48E-04	1.81E-04	]	1.75E-02	[	2.83E-06	5.31E-04	1.08E-02	6.20E-03	]	9.73E-01
8.05E+00	2.70E-02	2.59E-03	[	1.19E-05	1.94E-04	1.34E-03	1.04E-03	]	6.54E-03	[	5.06E-07	2.77E-04	3.22E-03	6.12E-04	1.23E-03	5.13E-04	2.40E-04	2.60E-04	1.89E-04	]	1.79E-02	[	2.19E-06	4.82E-04	1.09E-02	6.48E-03	]	9.73E-01
8.16E+00	2.74E-02	2.47E-03	[	9.85E-06	1.74E-04	1.27E-03	1.01E-03	]	6.66E-03	[	3.78E-07	2.51E-04	3.23E-03	6.37E-04	1.29E-03	5.39E-04	2.52E-04	2.72E-04	1.97E-04	]	1.83E-02	[	1.68E-06	4.36E-04	1.10E-02	6.77E-03	]	9.73E-01
8.27E+00	2.78E-02	2.35E-03	[	8.15E-06	1.56E-04	1.21E-03	9.75E-04	]	6.79E-03	[	2.81E-07	2.26E-04	3.23E-03	6.63E-04	1.35E-03	5.66E-04	2.64E-04	2.85E-04	2.05E-04	]	1.86E-02	[	1.29E-06	3.94E-04	1.12E-02	7.08E-03	]	9.72E-01
8.39E+00	2.82E-02	2.24E-03	[	6.72E-06	1.40E-04	1.15E-03	9.42E-04	]	6.92E-03	[	2.08E-07	2.04E-04	3.23E-03	6.89E-04	1.41E-03	5.94E-04	2.77E-04	2.98E-04	2.14E-04	]	1.90E-02	[	9.84E-07	3.54E-04	1.13E-02	7.39E-03	]	9.72E-01
8.50E+00	2.86E-02	2.13E-03	[	5.52E-06	1.25E-04	1.09E-03	9.10E-04	]	7.05E-03	[	1.53E-07	1.83E-04	3.23E-03	7.16E-04	1.47E-03	6.23E-04	2.91E-04	3.12E-04	2.23E-04	]	1.94E-02	[	7.47E-07	3.18E-04	1.14E-02	7.72E-03	]	9.71E-01
8.61E+00	2.91E-02	2.02E-03	[	4.52E-06	1.11E-04	1.03E-03	8.77E-04	]	7.19E-03	[	1.12E-07	1.64E-04	3.22E-03	7.42E-04	1.54E-03	6.54E-04	3.05E-04	3.26E-04	2.32E-04	]	1.98E-02	[	5.64E-07	2.85E-04	1.15E-02	8.06E-03	]	9.71E-01
8.73E+00	2.95E-02	1.91E-03	[	3.70E-06	9.89E-05	9.67E-04	8.45E-04	]	7.32E-03	[	8.15E-08	1.46E-04	3.21E-03	7.69E-04	1.61E-03	6.86E-04	3.19E-04	3.41E-04	2.42E-04	]	2.03E-02	[	4.24E-07	2.54E-04	1.16E-02	8.41E-03	]	9.71E-01
8.84E+00	3.00E-02	1.81E-03	[	3.01E-06	8.77E-05	9.11E-04	8.13E-04	]	7.46E-03	[	5.91E-08	1.30E-04	3.19E-03	7.95E-04	1.68E-03	7.19E-04	3.35E-04	3.57E-04	2.52E-04	]	2.07E-02	[	3.17E-07	2.26E-04	1.17E-02	8.78E-03	]	9.70E-01
