[ 1.2263e+00 1.2263e+00 1.2263e+00 ] [ -1.0160e+00 ] -9.66369e-01 1.01598e+00 -1.58385e+00
[ 1.2285e+00 1.2285e+00 1.2285e+00 ] [ -1.0161e+00 ] -9.66169e-01 1.01607e+00 -1.58897e+00
[ 1.2306e+00 1.2306e+00 1.2306e+00 ] [ -1.0161e+00 ] -9.66052e-01 1.01612e+00 -1.59352e+00
[ 1.2325e+00 1.2325e+00 1.2325e+00 ] [ -1.0161e+00 ] -9.66007e-01 1.01614e+00 -1.59750e+00
[ 1.2342e+00 1.2342e+00 1.2342e+00 ] [ -1.0161e+00 ] -9.66024e-01 1.01613e+00 -1.60092e+00
[ 1.2358e+00 1.2358e+00 1.2358e+00 ] [ -1.0161e+00 ] -9.66095e-01 1.01610e+00 -1.60379e+00
[ 1.2372e+00 1.2372e+00 1.2372e+00 ] [ -1.0160e+00 ] -9.66210e-01 1.01605e+00 -1.60613e+00
[ 1.2384e+00 1.2384e+00 1.2384e+00 ] [ -1.0160e+00 ] -9.66361e-01 1.01598e+00 -1.60796e+00
[ 1.2394e+00 1.2394e+00 1.2394e+00 ] [ -1.0159e+00 ] -9.66542e-01 1.01590e+00 -1.60931e+00
[ 1.2402e+00 1.2402e+00 1.2402e+00 ] [ -1.0158e+00 ] -9.66747e-01 1.01581e+00 -1.61020e+00
[ 1.2409e+00 1.2409e+00 1.2409e+00 ] [ -1.0157e+00 ] -9.66969e-01 1.01571e+00 -1.61065e+00
[ 1.2414e+00 1.2414e+00 1.2414e+00 ] [ -1.0156e+00 ] -9.67205e-01 1.01560e+00 -1.61070e+00
[ 1.2417e+00 1.2417e+00 1.2417e+00 ] [ -1.0155e+00 ] -9.67450e-01 1.01549e+00 -1.61037e+00
[ 1.2418e+00 1.2418e+00 1.2418e+00 ] [ -1.0154e+00 ] -9.67700e-01 1.01538e+00 -1.60968e+00
[ 1.2418e+00 1.2418e+00 1.2418e+00 ] [ -1.0153e+00 ] -9.67953e-01 1.01526e+00 -1.60866e+00
[ 1.2416e+00 1.2416e+00 1.2416e+00 ] [ -1.0151e+00 ] -9.68206e-01 1.01515e+00 -1.60734e+00
[ 1.2413e+00 1.2413e+00 1.2413e+00 ] [ -1.0150e+00 ] -9.68458e-01 1.01503e+00 -1.60574e+00
[ 1.2408e+00 1.2408e+00 1.2408e+00 ] [ -1.0149e+00 ] -9.68706e-01 1.01492e+00 -1.60387e+00
[ 1.2402e+00 1.2402e+00 1.2402e+00 ] [ -1.0148e+00 ] -9.68950e-01 1.01481e+00 -1.60177e+00
[ 1.2395e+00 1.2395e+00 1.2395e+00 ] [ -1.0147e+00 ] -9.69188e-01 1.01470e+00 -1.59945e+00
[ 1.2387e+00 1.2387e+00 1.2387e+00 ] [ -1.0146e+00 ] -9.69421e-01 1.01460e+00 -1.59693e+00
[ 1.2378e+00 1.2378e+00 1.2378e+00 ] [ -1.0145e+00 ] -9.69647e-01 1.01449e+00 -1.59422e+00
[ 1.2368e+00 1.2368e+00 1.2368e+00 ] [ -1.0144e+00 ] -9.69867e-01 1.01439e+00 -1.59135e+00
[ 1.2356e+00 1.2356e+00 1.2356e+00 ] [ -1.0143e+00 ] -9.70079e-01 1.01430e+00 -1.58832e+00
[ 1.2345e+00 1.2345e+00 1.2345e+00 ] [ -1.0142e+00 ] -9.70285e-01 1.01420e+00 -1.58515e+00
[ 1.2332e+00 1.2332e+00 1.2332e+00 ] [ -1.0141e+00 ] -9.70485e-01 1.01411e+00 -1.58185e+00
[ 1.2319e+00 1.2319e+00 1.2319e+00 ] [ -1.0140e+00 ] -9.70678e-01 1.01402e+00 -1.57844e+00
[ 1.2304e+00 1.2304e+00 1.2304e+00 ] [ -1.0139e+00 ] -9.70864e-01 1.01394e+00 -1.57491e+00
[ 1.2290e+00 1.2290e+00 1.2290e+00 ] [ -1.0139e+00 ] -9.71045e-01 1.01385e+00 -1.57129e+00
[ 1.2275e+00 1.2275e+00 1.2275e+00 ] [ -1.0138e+00 ] -9.71221e-01 1.01377e+00 -1.56757e+00
[ 1.2259e+00 1.2259e+00 1.2259e+00 ] [ -1.0137e+00 ] -9.71391e-01 1.01370e+00 -1.56377e+00
[ 1.2243e+00 1.2243e+00 1.2243e+00 ] [ -1.0136e+00 ] -9.71557e-01 1.01362e+00 -1.55988e+00
[ 1.2226e+00 1.2226e+00 1.2226e+00 ] [ -1.0135e+00 ] -9.71718e-01 1.01355e+00 -1.55592e+00
[ 1.2209e+00 1.2209e+00 1.2209e+00 ] [ -1.0135e+00 ] -9.71876e-01 1.01347e+00 -1.55189e+00
[ 1.2191e+00 1.2191e+00 1.2191e+00 ] [ -1.0134e+00 ] -9.72029e-01 1.01340e+00 -1.54780e+00
[ 1.2173e+00 1.2173e+00 1.2173e+00 ] [ -1.0133e+00 ] -9.72180e-01 1.01333e+00 -1.54364e+00
[ 1.2155e+00 1.2155e+00 1.2155e+00 ] [ -1.0133e+00 ] -9.72328e-01 1.01327e+00 -1.53942e+00
[ 1.2136e+00 1.2136e+00 1.2136e+00 ] [ -1.0132e+00 ] -9.72474e-01 1.01320e+00 -1.53514e+00
