[ 4.8792e-01 ] 2.17306e-01 6.97859e-01 2.28840e+00
[ 4.8768e-01 ] 2.16639e-01 6.98269e-01 2.28818e+00
[ 4.8745e-01 ] 2.15969e-01 6.98681e-01 2.28794e+00
[ 4.8721e-01 ] 2.15296e-01 6.99095e-01 2.28771e+00
[ 4.8697e-01 ] 2.14619e-01 6.99511e-01 2.28746e+00
[ 4.8673e-01 ] 2.13937e-01 6.99929e-01 2.28721e+00
[ 4.8648e-01 ] 2.13251e-01 7.00350e-01 2.28695e+00
[ 4.8623e-01 ] 2.12561e-01 7.00774e-01 2.28669e+00
[ 4.8598e-01 ] 2.11865e-01 7.01201e-01 2.28643e+00
[ 4.8573e-01 ] 2.11165e-01 7.01630e-01 2.28616e+00
[ 4.8547e-01 ] 2.10458e-01 7.02063e-01 2.28588e+00
[ 4.8522e-01 ] 2.09747e-01 7.02499e-01 2.28560e+00
[ 4.8496e-01 ] 2.09029e-01 7.02938e-01 2.28531e+00
[ 4.8469e-01 ] 2.08306e-01 7.03380e-01 2.28502e+00
[ 4.8443e-01 ] 2.07576e-01 7.03826e-01 2.28473e+00
[ 4.8416e-01 ] 2.06841e-01 7.04276e-01 2.28443e+00
[ 4.8389e-01 ] 2.06099e-01 7.04730e-01 2.28413e+00
[ 4.8361e-01 ] 2.05350e-01 7.05187e-01 2.28382e+00
[ 4.8334e-01 ] 2.04595e-01 7.05648e-01 2.28351e+00
[ 4.8306e-01 ] 2.03833e-01 7.06112e-01 2.28319e+00
[ 4.8278e-01 ] 2.03064e-01 7.06581e-01 2.28287e+00
[ 4.8249e-01 ] 2.02289e-01 7.07054e-01 2.28255e+00
[ 4.8221e-01 ] 2.01506e-01 7.07530e-01 2.28222e+00
[ 4.8192e-01 ] 2.00717e-01 7.08011e-01 2.28188e+00
[ 4.8163e-01 ] 1.99920e-01 7.08496e-01 2.28155e+00
[ 4.8134e-01 ] 1.99116e-01 7.08985e-01 2.28121e+00
[ 4.8104e-01 ] 1.98305e-01 7.09478e-01 2.28086e+00
[ 4.8074e-01 ] 1.97487e-01 7.09975e-01 2.28051e+00
[ 4.8044e-01 ] 1.96661e-01 7.10477e-01 2.28016e+00
[ 4.8014e-01 ] 1.95827e-01 7.10983e-01 2.27980e+00
[ 4.7983e-01 ] 1.94986e-01 7.11493e-01 2.27944e+00
[ 4.7952e-01 ] 1.94138e-01 7.12007e-01 2.27907e+00
[ 4.7921e-01 ] 1.93282e-01 7.12526e-01 2.27870e+00
[ 4.7890e-01 ] 1.92418e-01 7.13049e-01 2.27832e+00
[ 4.7858e-01 ] 1.91547e-01 7.13577e-01 2.27794e+00
[ 4.7826e-01 ] 1.90667e-01 7.14109e-01 2.27756e+00
[ 4.7794e-01 ] 1.89780e-01 7.14645e-01 2.27717e+00
[ 4.7762e-01 ] 1.88886e-01 7.15186e-01 2.27678e+00
[ 4.7729e-01 ] 1.87983e-01 7.15731e-01 2.27638e+00
[ 4.7696e-01 ] 1.87073e-01 7.16280e-01 2.27598e+00
[ 4.7663e-01 ] 1.86155e-01 7.16834e-01 2.27557e+00
[ 4.7629e-01 ] 1.85230e-01 7.17392e-01 2.27516e+00
[ 4.7595e-01 ] 1.84296e-01 7.17954e-01 2.27474e+00
[ 4.7561e-01 ] 1.83355e-01 7.18520e-01 2.27432e+00
[ 4.7527e-01 ] 1.82407e-01 7.19091e-01 2.27389e+00
[ 4.7493e-01 ] 1.81451e-01 7.19666e-01 2.27346e+00
[ 4.7458e-01 ] 1.80488e-01 7.20244e-01 2.27302e+00
[ 4.7423e-01 ] 1.79518e-01 7.20827e-01 2.27257e+00
[ 4.7388e-01 ] 1.78541e-01 7.21413e-01 2.27212e+00
[ 4.7352e-01 ] 1.77557e-01 7.22004e-01 2.27167e+00
[ 4.7316e-01 ] 1.76566e-01 7.22597e-01 2.27121e+00
[ 4.7280e-01 ] 1.75570e-01 7.23194e-01 2.27074e+00
[ 4.7244e-01 ] 1.74567e-01 7.23794e-01 2.27026e+00
[ 4.7207e-01 ] 1.73560e-01 7.24397e-01 2.26978e+00
[ 4.7170e-01 ] 1.72547e-01 7.25002e-01 2.26929e+00
[ 4.7133e-01 ] 1.71530e-01 7.25610e-01 2.26880e+00
[ 4.7096e-01 ] 1.70509e-01 7.26219e-01 2.26829e+00
[ 4.7058e-01 ] 1.69485e-01 7.26830e-01 2.26778e+00
[ 4.7020e-01 ] 1.68459e-01 7.27442e-01 2.26726e+00
[ 4.6982e-01 ] 1.67432e-01 7.28053e-01 2.26673e+00
[ 4.6943e-01 ] 1.66405e-01 7.28665e-01 2.26620e+00
[ 4.6905e-01 ] 1.65379e-01 7.29275e-01 2.26565e+00
[ 4.6866e-01 ] 1.64356e-01 7.29883e-01 2.26509e+00
[ 4.6827e-01 ] 1.63337e-01 7.30488e-01 2.26452e+00
[ 4.6788e-01 ] 1.62325e-01 7.31089e-01 2.26394e+00
[ 4.6748e-01 ] 1.61321e-01 7.31685e-01 2.26334e+00
[ 4.6708e-01 ] 1.60328e-01 7.32274e-01 2.26274e+00
[ 4.6668e-01 ] 1.59348e-01 7.32854e-01 2.26211e+00
[ 4.6628e-01 ] 1.58386e-01 7.33424e-01 2.26147e+00
[ 4.6588e-01 ] 1.57444e-01 7.33981e-01 2.26082e+00
[ 4.6548e-01 ] 1.56526e-01 7.34523e-01 2.26014e+00
[ 4.6507e-01 ] 1.55637e-01 7.35049e-01 2.25944e+00
[ 4.6466e-01 ] 1.54782e-01 7.35554e-01 2.25872e+00
[ 4.6426e-01 ] 1.53967e-01 7.36035e-01 2.25798e+00
[ 4.6385e-01 ] 1.53197e-01 7.36489e-01 2.25721e+00
[ 4.6344e-01 ] 1.52481e-01 7.36911e-01 2.25640e+00
[ 4.6303e-01 ] 1.51824e-01 7.37298e-01 2.25557e+00
[ 4.6262e-01 ] 1.51238e-01 7.37644e-01 2.25469e+00
[ 4.6221e-01 ] 1.50730e-01 7.37943e-01 2.25378e+00
[ 4.6180e-01 ] 1.50311e-01 7.38189e-01 2.25281e+00
[ 4.6139e-01 ] 1.49993e-01 7.38376e-01 2.25180e+00
[ 4.6097e-01 ] 1.49789e-01 7.38496e-01 2.25073e+00
[ 4.6056e-01 ] 1.49713e-01 7.38541e-01 2.24960e+00
[ 4.6016e-01 ] 1.49779e-01 7.38502e-01 2.24840e+00
[ 4.5975e-01 ] 1.50004e-01 7.38370e-01 2.24711e+00
[ 4.5934e-01 ] 1.50405e-01 7.38133e-01 2.24574e+00
[ 4.5893e-01 ] 1.51002e-01 7.37782e-01 2.24428e+00
[ 4.5852e-01 ] 1.51816e-01 7.37303e-01 2.24270e+00
[ 4.5812e-01 ] 1.52866e-01 7.36684e-01 2.24100e+00
[ 4.5771e-01 ] 1.54178e-01 7.35910e-01 2.23916e+00
[ 4.5730e-01 ] 1.55774e-01 7.34968e-01 2.23717e+00
[ 4.5689e-01 ] 1.57681e-01 7.33840e-01 2.23501e+00
[ 4.5648e-01 ] 1.59926e-01 7.32512e-01 2.23266e+00
