[ 3.8193e-01 ] -1.54165e-01 7.82046e-01 -1.97674e+00
[ 3.8317e-01 ] -1.59312e-01 7.84757e-01 -1.98107e+00
[ 3.8423e-01 ] -1.64796e-01 7.87631e-01 -1.98486e+00
[ 3.8515e-01 ] -1.70477e-01 7.90594e-01 -1.98816e+00
[ 3.8592e-01 ] -1.76248e-01 7.93588e-01 -1.99101e+00
[ 3.8659e-01 ] -1.82020e-01 7.96566e-01 -1.99343e+00
[ 3.8716e-01 ] -1.87728e-01 7.99494e-01 -1.99549e+00
[ 3.8764e-01 ] -1.93318e-01 8.02348e-01 -1.99719e+00
[ 3.8805e-01 ] -1.98752e-01 8.05107e-01 -1.99859e+00
[ 3.8838e-01 ] -2.04002e-01 8.07758e-01 -1.99971e+00
[ 3.8866e-01 ] -2.09045e-01 8.10292e-01 -2.00057e+00
[ 3.8888e-01 ] -2.13867e-01 8.12704e-01 -2.00121e+00
[ 3.8906e-01 ] -2.18460e-01 8.14989e-01 -2.00165e+00
[ 3.8919e-01 ] -2.22819e-01 8.17149e-01 -2.00191e+00
[ 3.8928e-01 ] -2.26943e-01 8.19183e-01 -2.00201e+00
[ 3.8933e-01 ] -2.30834e-01 8.21095e-01 -2.00197e+00
[ 3.8936e-01 ] -2.34495e-01 8.22886e-01 -2.00181e+00
[ 3.8935e-01 ] -2.37934e-01 8.24562e-01 -2.00154e+00
[ 3.8931e-01 ] -2.41157e-01 8.26128e-01 -2.00118e+00
[ 3.8926e-01 ] -2.44171e-01 8.27588e-01 -2.00074e+00
[ 3.8917e-01 ] -2.46989e-01 8.28948e-01 -2.00023e+00
[ 3.8907e-01 ] -2.49617e-01 8.30213e-01 -1.99967e+00
[ 3.8896e-01 ] -2.52068e-01 8.31389e-01 -1.99905e+00
[ 3.8882e-01 ] -2.54351e-01 8.32482e-01 -1.99839e+00
[ 3.8867e-01 ] -2.56477e-01 8.33498e-01 -1.99769e+00
[ 3.8851e-01 ] -2.58457e-01 8.34441e-01 -1.99697e+00
[ 3.8834e-01 ] -2.60302e-01 8.35318e-01 -1.99622e+00
[ 3.8816e-01 ] -2.62021e-01 8.36134e-01 -1.99545e+00
[ 3.8797e-01 ] -2.63625e-01 8.36894e-01 -1.99467e+00
[ 3.8778e-01 ] -2.65123e-01 8.37602e-01 -1.99388e+00
[ 3.8757e-01 ] -2.66526e-01 8.38265e-01 -1.99307e+00
[ 3.8736e-01 ] -2.67842e-01 8.38885e-01 -1.99226e+00
[ 3.8715e-01 ] -2.69079e-01 8.39467e-01 -1.99144e+00
[ 3.8693e-01 ] -2.70247e-01 8.40016e-01 -1.99063e+00
[ 3.8671e-01 ] -2.71352e-01 8.40535e-01 -1.98980e+00
[ 3.8649e-01 ] -2.72402e-01 8.41027e-01 -1.98898e+00
[ 3.8627e-01 ] -2.73404e-01 8.41496e-01 -1.98816e+00
[ 3.8604e-01 ] -2.74365e-01 8.41946e-01 -1.98733e+00
[ 3.8581e-01 ] -2.75290e-01 8.42378e-01 -1.98651e+00
[ 3.8558e-01 ] -2.76184e-01 8.42796e-01 -1.98568e+00
[ 3.8535e-01 ] -2.77054e-01 8.43201e-01 -1.98486e+00
[ 3.8512e-01 ] -2.77903e-01 8.43597e-01 -1.98403e+00
[ 3.8489e-01 ] -2.78735e-01 8.43984e-01 -1.98320e+00
[ 3.8465e-01 ] -2.79556e-01 8.44366e-01 -1.98237e+00
[ 3.8442e-01 ] -2.80367e-01 8.44743e-01 -1.98155e+00
[ 3.8419e-01 ] -2.81173e-01 8.45117e-01 -1.98071e+00
[ 3.8396e-01 ] -2.81976e-01 8.45489e-01 -1.97988e+00
